sigungu_cd,bjdong_cd,bun,ji,total_exclusive_area,unit_count
11215,10300,0243,0071,3253.21,124
11215,10300,0246,0014,7770.3,270
11215,10300,0251,0034,4034.03,119
11215,10300,0252,0010,8016.486,166
11215,10300,0252,0016,14669.98,446
11215,10300,0253,0019,7695.12,232
11215,10300,0546,0004,94548.48,3811
11215,10300,0546,0007,30005.04,354
11215,10300,0547,0007,11201.42,108
11215,10300,0547,0008,7307.21,147
11215,10300,0587,0054,20380.51,279
11215,10300,0589,0010,36931.8876,332
11215,10300,0593,0011,2840.92,108
11215,10300,0610,0000,36472.56,448
11215,10300,0611,0000,141693.04,1672
11215,10300,0631,0001,155874.88,1759
11215,10300,0656,0000,10248.3,126
11215,10300,0657,0000,7319.85,101
11215,10300,0658,0000,10961.6,130
11215,10300,0663,0000,10124.67,125
11215,10300,0667,0000,27011.55,385
11215,10300,0668,0000,66688.492,880
11215,10300,0671,0000,7217.4362,152
11215,10300,0680,0000,70162.0775,737
11215,10300,0683,0000,12539.37,449
11215,10400,0102,0000,7938.57,209
11215,10400,0108,0000,4147.03,147
11215,10400,0114,0000,13644.8,127
11215,10400,0145,0008,91404.67,690
11215,10400,0148,0004,15731.37,222
11215,10400,0218,0001,136750.65,1353
11215,10400,0250,0000,26377.29,312
11215,10400,0266,0000,5394.72,169
11215,10400,0362,0000,23387.04,144
11215,10400,0453,0001,14033.55,204
11215,10400,0484,0000,95085.12,1162
11215,10400,0554,0007,44168.89,601
11215,10400,0561,0000,12403.65,175
11215,10400,0565,0000,31011.28,420
11215,10400,0566,0000,49017.61,700
11215,10400,0567,0000,32908.56,430
11215,10400,0569,0000,13762.28,190
11215,10400,0570,0000,13924.2,200
11215,10400,0576,0000,32022.75,444
11215,10400,0577,0000,90536.21,1195
11215,10400,0578,0000,18753.24,246
11215,10400,0579,0000,13505.46,159
11215,10400,0580,0000,18114.0,128
11215,10400,0581,0000,18481.19,132
11215,10400,0582,0000,45786.65,931
11215,10400,0583,0000,17568.9878,128
11215,10500,0002,0002,12042.9895,367
11215,10500,0002,0003,30610.12,481
11215,10500,0057,0103,13782.42,188
11215,10500,0087,0001,30585.8,365
11215,10500,0200,0000,3166.26,100
11215,10500,0227,0007,220199.93,1334
11215,10500,0507,0006,12869.79,153
11215,10500,0510,0005,13269.19,167
11215,10500,0516,0000,34452.9,465
11215,10500,0520,0002,26950.05,405
11215,10500,0579,0000,43387.88,657
11215,10500,0602,0000,4724.32,103
11215,10500,0641,0000,17287.74,241
11215,10500,0642,0000,21196.71,273
11215,10500,0644,0000,25823.81,339
11215,10500,0645,0005,15571.02,191
11215,10500,0666,0028,11432.53,160
11215,10500,0670,0000,37088.09,465
11215,10500,0672,0000,14888.31,185
11215,10500,0673,0000,17067.0,208
11215,10500,0695,0000,59315.44,498
